job,case,method,family,schema,topology,topology_label,seed,spec,spec_label,metric,direction,target,measured,unit,passed,achievement,capped_achievement,normalized_margin
optimizer_only__five_transistor_ota_frontier_stress__seed_9,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,9,slew_rate,Slew rate,slew_rate,min,69330000.0,144105626.27279407,V/s,True,2.078546462899092,1.5,1.0785464628990922
optimizer_only__five_transistor_ota_frontier_stress__seed_9,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,9,output_swing,Output swing,output_swing,min,0.8736,0.8619454999999999,V,False,0.9866592261904761,0.9866592261904761,-0.01334077380952395
optimizer_only__five_transistor_ota_frontier_stress__seed_9,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,9,power,Power,total_power,max,0.0002,0.0001784112,W,True,1.1210058561345926,1.1210058561345926,0.10794400000000005
optimizer_only__current_mirror_ota_ihp130_frontier_stress__seed_2,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/current_mirror_ota_ihp130_frontier_stress.yaml,current_mirror_ota_ihp130,Current mirror,2,dc_gain,Gain,dc_gain_db,min,28.9,26.2441128,dB,False,0.9081007889273357,0.9081007889273357,-0.09189921107266431
optimizer_only__current_mirror_ota_ihp130_frontier_stress__seed_2,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/current_mirror_ota_ihp130_frontier_stress.yaml,current_mirror_ota_ihp130,Current mirror,2,unity_gain_bandwidth,UGBW,unity_gain_bandwidth,min,35320000.0,83061729.48202609,Hz,True,2.3516910951876016,1.5,1.3516910951876016
optimizer_only__current_mirror_ota_ihp130_frontier_stress__seed_2,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/current_mirror_ota_ihp130_frontier_stress.yaml,current_mirror_ota_ihp130,Current mirror,2,phase_margin,Phase margin,phase_margin,min,60.0,69.23375676677243,deg,True,1.153895946112874,1.153895946112874,0.15389594611287383
optimizer_only__current_mirror_ota_ihp130_frontier_stress__seed_2,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/current_mirror_ota_ihp130_frontier_stress.yaml,current_mirror_ota_ihp130,Current mirror,2,slew_rate,Slew rate,slew_rate,min,37520000.0,107995823.86318506,V/s,True,2.878353514477214,1.5,1.8783535144772139
optimizer_only__current_mirror_ota_ihp130_frontier_stress__seed_2,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/current_mirror_ota_ihp130_frontier_stress.yaml,current_mirror_ota_ihp130,Current mirror,2,output_swing,Output swing,output_swing,min,0.8318,0.740706,V,False,0.8904856936763645,0.8904856936763645,-0.1095143063236355
optimizer_only__current_mirror_ota_ihp130_frontier_stress__seed_2,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/current_mirror_ota_ihp130_frontier_stress.yaml,current_mirror_ota_ihp130,Current mirror,2,power,Power,total_power,max,0.0003,0.000166854,W,True,1.7979790715236073,1.5,0.44381999999999994
optimizer_only__five_transistor_ota_frontier_stress__seed_10,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,10,dc_gain,Gain,dc_gain_db,min,27.01,24.8997345,dB,False,0.9218709552017771,0.9218709552017771,-0.0781290447982229
optimizer_only__five_transistor_ota_frontier_stress__seed_10,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,10,unity_gain_bandwidth,UGBW,unity_gain_bandwidth,min,77530000.0,185272538.68755978,Hz,True,2.3896883617639597,1.5,1.3896883617639595
optimizer_only__five_transistor_ota_frontier_stress__seed_10,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,10,phase_margin,Phase margin,phase_margin,min,60.0,80.27504389098928,deg,True,1.3379173981831547,1.3379173981831547,0.3379173981831547
optimizer_only__five_transistor_ota_frontier_stress__seed_10,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,10,slew_rate,Slew rate,slew_rate,min,69330000.0,150007906.44800603,V/s,True,2.1636795968268574,1.5,1.1636795968268576
optimizer_only__five_transistor_ota_frontier_stress__seed_10,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,10,output_swing,Output swing,output_swing,min,0.8736,0.8889314999999999,V,True,1.0175497939560438,1.0175497939560438,0.017549793956043763
optimizer_only__five_transistor_ota_frontier_stress__seed_10,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,10,power,Power,total_power,max,0.0002,0.00018296039999999997,W,True,1.0931327216162625,1.0931327216162625,0.08519800000000019
optimizer_only__current_mirror_ota_ihp130_frontier_stress__seed_1,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/current_mirror_ota_ihp130_frontier_stress.yaml,current_mirror_ota_ihp130,Current mirror,1,dc_gain,Gain,dc_gain_db,min,28.9,27.7719356,dB,False,0.9609666297577855,0.9609666297577855,-0.03903337024221452
optimizer_only__current_mirror_ota_ihp130_frontier_stress__seed_1,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/current_mirror_ota_ihp130_frontier_stress.yaml,current_mirror_ota_ihp130,Current mirror,1,unity_gain_bandwidth,UGBW,unity_gain_bandwidth,min,35320000.0,12633736.117767328,Hz,False,0.3576935480681577,0.3576935480681577,-0.6423064519318424
optimizer_only__current_mirror_ota_ihp130_frontier_stress__seed_1,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/current_mirror_ota_ihp130_frontier_stress.yaml,current_mirror_ota_ihp130,Current mirror,1,phase_margin,Phase margin,phase_margin,min,60.0,76.45700202352918,deg,True,1.2742833670588198,1.2742833670588198,0.2742833670588197
optimizer_only__current_mirror_ota_ihp130_frontier_stress__seed_1,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/current_mirror_ota_ihp130_frontier_stress.yaml,current_mirror_ota_ihp130,Current mirror,1,slew_rate,Slew rate,slew_rate,min,37520000.0,6473449.147289326,V/s,False,0.17253329283820165,0.17253329283820165,-0.8274667071617983
optimizer_only__current_mirror_ota_ihp130_frontier_stress__seed_1,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/current_mirror_ota_ihp130_frontier_stress.yaml,current_mirror_ota_ihp130,Current mirror,1,output_swing,Output swing,output_swing,min,0.8318,0.966934,V,True,1.162459725895648,1.162459725895648,0.16245972589564797
optimizer_only__current_mirror_ota_ihp130_frontier_stress__seed_1,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/current_mirror_ota_ihp130_frontier_stress.yaml,current_mirror_ota_ihp130,Current mirror,1,power,Power,total_power,max,0.0003,8.395776e-06,W,True,35.73225393340651,1.5,0.97201408
optimizer_only__current_mirror_ota_ihp130_frontier_stress__seed_3,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/current_mirror_ota_ihp130_frontier_stress.yaml,current_mirror_ota_ihp130,Current mirror,3,dc_gain,Gain,dc_gain_db,min,28.9,28.191631,dB,False,0.9754889619377164,0.9754889619377164,-0.024511038062283656
optimizer_only__current_mirror_ota_ihp130_frontier_stress__seed_3,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/current_mirror_ota_ihp130_frontier_stress.yaml,current_mirror_ota_ihp130,Current mirror,3,unity_gain_bandwidth,UGBW,unity_gain_bandwidth,min,35320000.0,16918333.768966652,Hz,False,0.4790015223376742,0.4790015223376742,-0.5209984776623258
